,frame,xcoord,ycoord,brand,conf
1893,96080,200,256,Asics,0.9826107621192932
1894,96080,200,256,Asics,0.8962451219558716
1895,96100,200,256,Asics,0.9971667528152466
1896,96100,200,256,Asics,0.9199343919754028
1897,96110,200,256,Asics,0.9878835678100586
1898,96150,356,80,Nike,0.9334949254989624
1899,96160,200,256,Asics,0.9843676090240479
1900,96160,200,256,Asics,0.9779273271560669
1901,96160,200,256,Asics,0.9367400407791138
1902,96160,200,256,Asics,0.8860334753990173
1903,96160,24,60,Adidas,0.9470442533493042
1904,96170,200,256,Asics,0.9930316209793091
1905,96170,200,256,Asics,0.964041531085968
1906,96170,24,60,Adidas,0.8662744760513306
1907,96180,199,255,Asics,0.930814802646637
1908,96180,199,255,Asics,0.9087114930152893
1909,96180,199,255,Asics,0.9041195511817932
1910,96180,199,255,Asics,0.9005005359649658
1911,96180,199,255,Asics,0.8349401354789734
1912,96180,199,255,Asics,0.8218954801559448
1913,96180,474,236,Asics,0.9101207852363586
1914,96180,137,48,Nike,0.999996542930603
1915,96180,21,59,Adidas,0.9186009168624878
1916,96180,21,59,Adidas,0.8535508513450623
1917,96210,200,256,Asics,0.9364104270935059
1918,96220,200,256,Asics,0.9866716861724854
1919,96220,200,256,Asics,0.9266979694366455
1920,96230,200,256,Asics,0.9822201728820801
1921,96230,200,256,Asics,0.9600870609283447
1922,96240,200,256,Asics,0.9082202315330505
1923,96240,200,256,Nike,0.8587052226066589
1924,96240,200,256,Asics,0.8522931933403015
1925,96250,200,256,Asics,0.9351397752761841
1926,96250,200,256,Asics,0.8878970146179199
1927,96250,200,256,Asics,0.8790985345840454
1928,96270,200,256,Asics,0.8531826734542847
1929,96280,200,256,Asics,0.9331986904144287
1930,96280,200,256,Asics,0.8492113947868347
1931,96290,200,256,Asics,0.9724937677383423
1932,96290,200,256,Asics,0.9043934345245361
1933,96300,470,123,Nike,0.875665009021759
1934,96310,200,256,Asics,0.8480707406997681
1935,96310,249,72,Nike,0.95940762758255
1936,96320,200,256,Asics,0.950663685798645
1937,96320,200,256,Asics,0.9175378680229187
1938,96320,200,256,Asics,0.8007173538208008
1939,96320,65,67,Nike,0.9918234348297119
1940,96340,200,256,Asics,0.8212851285934448
1941,96350,200,256,Asics,0.9440192580223083
1942,96350,200,256,Asics,0.856948971748352
1943,96350,200,256,Asics,0.8294020295143127
1944,96360,200,256,Asics,0.9379888772964478
1945,96360,200,256,Asics,0.8255122900009155
1946,96370,200,256,Asics,0.9304748773574829
1947,96370,200,256,Asics,0.9144026041030884
1948,96370,200,256,Asics,0.8846384286880493
1949,96370,200,256,Asics,0.8763518333435059
1950,96380,200,256,Asics,0.9338870048522949
1951,96380,200,256,Asics,0.8813594579696655
1952,96380,200,256,Asics,0.8142746090888977
1953,96390,199,255,Asics,0.8286106586456299
1954,96390,199,255,Nike,0.8276082277297974
1955,96400,200,256,Asics,0.8891569972038269
1956,96400,200,256,Asics,0.8739544749259949
1957,96400,406,111,NB,0.9936684370040894
1958,96400,149,50,Asics,0.977213442325592
1959,96400,149,50,Nike,0.9753967523574829
1960,96410,200,256,Asics,0.9635313749313354
1961,96410,200,256,Asics,0.8344998955726624
1962,96410,200,256,Asics,0.8225544691085815
1963,96410,347,110,NB,0.8540030717849731
1964,96410,40,58,Asics,0.8200726509094238
1965,96750,199,255,Asics,0.9865552186965942
1966,96750,199,255,Asics,0.8918912410736084
1967,96750,199,255,Asics,0.8029712438583374
1968,96780,231,109,Nike,0.9562302827835083
1969,96780,231,109,Nike,0.9482632875442505
1970,96780,231,109,Nike,0.8187079429626465
1971,96820,250,140,Nike,0.9984377026557922
1972,96830,250,140,Nike,0.8121191263198853
1973,96970,345,140,NB,0.9638062715530396
1974,96980,199,255,Nike,0.97181236743927
1975,96980,199,255,Asics,0.8534253835678101
1976,96980,324,248,Asics,0.8879014253616333
1977,96980,134,101,NB,0.9929858446121216
1978,96990,199,255,Asics,0.9354989528656006
1979,96990,199,255,Asics,0.8504757881164551
1980,96990,475,114,Nike,0.8683269619941711
1981,97180,199,255,Asics,0.940790057182312
1982,97180,199,255,Asics,0.930680513381958
1983,97190,480,34,Adidas,0.9267410039901733
1984,97200,198,255,Asics,0.9936743974685669
1985,97200,198,255,Asics,0.9796775579452515
1986,97250,69,101,Asics,0.9456942081451416
1987,97260,59,84,Asics,0.906691312789917
1988,97450,199,255,Asics,0.8463091850280762
1989,97450,199,255,Asics,0.8014164566993713
1990,97450,467,252,Nike,0.9413970708847046
1991,97450,467,252,Nike,0.8446993827819824
1992,97460,199,255,Asics,0.9753426313400269
1993,97460,199,255,Asics,0.8247460722923279
1994,97460,330,250,Nike,0.8036352396011353
1995,97460,30,53,Nike,0.8458462357521057
1996,97470,199,255,Asics,0.965562105178833
1997,97480,199,255,Asics,0.8097333312034607
1998,97480,461,73,Asics,0.8085659742355347
1999,97490,199,255,Asics,0.9544556140899658
2000,97490,256,80,Adidas,0.9730767011642456
2001,97500,199,255,Asics,0.9851504564285278
2002,97510,199,255,Asics,0.8216657042503357
2003,97510,330,250,Asics,0.9225996732711792
2004,97620,199,255,Asics,0.982000470161438
2005,97620,298,124,Nike,0.8361777067184448
2006,97630,199,255,Asics,0.8321515321731567
2007,97630,383,172,Nike,0.9770620465278625
2008,97640,247,80,Nike,0.9940899610519409
2009,97650,199,255,Asics,0.9850153923034668
2010,97650,199,255,Asics,0.9349688291549683
2011,97650,199,255,Asics,0.9106749296188354
2012,97650,199,255,Asics,0.8693457245826721
2013,97650,199,255,Asics,0.8044016361236572
2014,97650,237,48,Adidas,0.9502781629562378
2015,97650,385,106,Nike,0.958116888999939
2016,97990,199,255,Asics,0.9602211117744446
2017,97990,199,255,Asics,0.9537366628646851
2018,97990,199,255,Asics,0.8339043855667114
2019,97990,427,142,NB,0.8748027086257935
2020,97990,293,18,Asics,0.9357552528381348
2021,98000,385,140,Adidas,0.9602426886558533
2022,98010,199,255,Asics,0.965323269367218
2023,98010,199,255,Asics,0.9255669713020325
2024,98010,297,140,NB,0.9673939943313599
2025,98010,297,140,Adidas,0.936473548412323
2026,98030,383,172,Nike,0.8155008554458618
2027,98040,199,255,Asics,0.9037554264068604
2028,98040,199,255,Asics,0.8602224588394165
2029,98040,298,124,Nike,0.8734087944030762
2030,98840,199,255,Asics,0.8806312680244446
2031,98850,199,255,Asics,0.8663031458854675
2032,98850,347,140,Asics,0.9786170721054077
2033,98850,347,140,Asics,0.9696510434150696
2034,98850,347,140,Asics,0.8890458345413208
2035,98860,226,110,Asics,0.9042707681655884
2036,98860,226,110,Asics,0.8349010944366455
2037,98870,467,237,Nike,0.9327017068862915
2038,98870,205,113,Asics,0.9966676235198975
2039,98870,205,113,Asics,0.9960765242576599
2040,98870,205,113,Asics,0.9843366146087646
2041,98870,205,113,Asics,0.9774274826049805
2042,98870,205,113,Nike,0.9425745010375977
2043,98870,205,113,Asics,0.8963426351547241
2044,98870,205,113,Nike,0.8740391731262207
2045,98880,298,124,Nike,0.9226503968238831
2046,98890,199,255,Asics,0.8827803134918213
2047,98890,298,124,Nike,0.9820083975791931
2048,98890,51,84,NB,0.9649536609649658
2049,98900,298,124,Nike,0.8344779014587402
2050,99010,199,255,Asics,0.8726842403411865
2051,99010,199,255,Asics,0.8682200312614441
2052,99010,26,58,Adidas,0.8543480634689331
2053,99020,199,255,Asics,0.9253325462341309
2054,99020,199,255,Asics,0.9148571491241455
2055,99020,199,255,Asics,0.9078701138496399
2056,99020,17,27,Asics,0.961007833480835
2057,99030,199,255,Asics,0.8475774526596069
2058,99030,185,92,NB,0.9982099533081055
2059,99030,185,92,Adidas,0.9050151109695435
2060,99040,199,254,Asics,0.8257589936256409
2061,99480,198,254,Asics,0.8247650265693665
